"","State","City","Year","Population","Violent.Crime","Murder","Rape.Revised","Rape.Legacy","Robbery","Aggravated.Assault","Property.Crime","Burglary","Larceny.Theft","Motor.Vehicle.Theft","Arson"
"165","COLORADO","COLORADO SPRINGS",2014,444949,982,11,196,0,207,568,7696,1252,5686,758,55
"166","COLORADO","COLORADO SPRINGS",2015,452410,991,10,191,0,191,599,7546,1108,5737,701,65
"167","COLORADO","FORT COLLINS",2014,154015,135,0,20,0,9,106,1690,194,1424,72,9
"168","COLORADO","FORT COLLINS",2015,159629,139,1,10,0,15,113,1532,182,1264,86,6
"169","COLORADO","LAKEWOOD",2014,148236,334,3,57,0,70,204,3298,493,2495,310,7
"170","COLORADO","LAKEWOOD",2015,151311,413,3,64,0,94,252,3489,412,2714,363,6
"171","COLORADO","PUEBLO",2014,108591,415,4,60,0,88,263,3651,914,2375,362,20
"172","COLORADO","PUEBLO",2015,108810,452,6,86,0,80,280,3360,1028,1974,358,19
"173","COLORADO","THORNTON",2014,129442,171,5,38,0,23,105,1804,212,1400,192,10
"174","COLORADO","THORNTON",2015,133188,103,2,22,0,11,68,1910,203,1391,316,11
"175","COLORADO","WESTMINSTER",2014,112100,130,2,18,0,28,82,1590,154,1286,150,5
"176","COLORADO","WESTMINSTER",2015,113547,132,3,28,0,20,81,1721,177,1319,225,6
"177","CONNECTICUT","BRIDGEPORT",2014,147822,617,2,32,0,248,335,1908,485,1114,309,15
"178","CONNECTICUT","BRIDGEPORT",2015,148313,488,8,39,0,214,227,1506,385,882,239,6
"179","CONNECTICUT","HARTFORD",2014,124943,671,7,22,0,229,413,2587,376,1823,388,19
"180","CONNECTICUT","HARTFORD",2015,124553,697,14,15,0,253,415,2549,414,1749,386,27
"181","CONNECTICUT","STAMFORD",2014,127385,147,1,12,0,68,66,955,114,742,99,7
"182","CONNECTICUT","STAMFORD",2015,129682,124,2,6,0,39,77,777,96,606,75,0
"183","CONNECTICUT","WATERBURY",2014,109495,165,3,14,0,83,65,1973,172,1514,287,5
"184","CONNECTICUT","WATERBURY",2015,109044,206,1,13,0,119,73,2093,203,1464,426,2
"185","FLORIDA","CAPE CORAL",2014,168712,116,2,5,0,18,91,1630,320,1226,84,1
"186","FLORIDA","CAPE CORAL",2015,173844,114,0,6,0,22,86,1552,288,1197,67,2
"187","FLORIDA","CLEARWATER",2014,110075,305,3,26,0,86,190,2169,389,1668,112,5
"188","FLORIDA","CLEARWATER",2015,111316,302,6,36,0,92,168,2188,306,1738,144,7
"189","FLORIDA","CORAL SPRINGS",2014,127939,95,0,10,0,23,62,1292,188,1046,58,2
"190","FLORIDA","CORAL SPRINGS",2015,129631,105,0,17,0,34,54,1111,157,884,70,1
"191","FLORIDA","FORT LAUDERDALE",2014,174056,656,9,39,0,289,319,4612,972,3311,329,17
"192","FLORIDA","FORT LAUDERDALE",2015,178598,692,4,68,0,200,420,4532,877,3266,389,13
"193","FLORIDA","GAINESVILLE",2014,128185,435,2,60,0,70,303,2203,312,1750,141,11
"194","FLORIDA","GAINESVILLE",2015,129410,416,2,43,0,91,280,2108,265,1719,124,5
"195","FLORIDA","HIALEAH",2014,235446,367,3,21,0,129,214,3186,348,2481,357,6
"196","FLORIDA","HIALEAH",2015,238132,407,2,14,0,142,249,2769,340,2088,341,14
"197","FLORIDA","HOLLYWOOD",2014,147918,408,6,37,0,125,240,3142,698,2236,208,2
"198","FLORIDA","HOLLYWOOD",2015,149822,353,6,34,0,131,182,2756,537,1958,261,1
"199","FLORIDA","JACKSONVILLE",2014,856021,2897,51,236,0,701,1909,16301,3363,11952,986,46
"200","FLORIDA","JACKSONVILLE",2015,867258,2764,46,226,0,620,1872,16090,3172,11840,1078,41
"201","FLORIDA","LAKELAND",2014,101428,285,4,44,0,84,153,2598,474,1993,131,0
"202","FLORIDA","LAKELAND",2015,103498,246,3,37,0,59,147,2368,371,1846,151,3
"203","FLORIDA","MIAMI",2014,421996,2080,43,35,0,768,1234,10028,1768,7083,1177,36
"204","FLORIDA","MIAMI",2015,437969,2226,42,33,0,829,1322,9604,1568,6885,1151,44
"205","FLORIDA","MIAMI GARDENS",2014,112373,369,8,9,0,104,248,2227,540,1455,232,8
"206","FLORIDA","MIAMI GARDENS",2015,113469,351,12,8,0,112,219,2001,390,1433,178,12
"207","FLORIDA","MIRAMAR",2014,132352,214,4,19,0,58,133,1341,390,861,90,4
"208","FLORIDA","MIRAMAR",2015,138330,225,3,21,0,65,136,1357,194,1051,112,6
"209","FLORIDA","ORLANDO",2014,259675,1136,12,80,0,279,765,8311,1801,6044,466,25
"210","FLORIDA","ORLANDO",2015,268438,1277,9,94,0,270,904,7874,1588,5753,533,25
"211","FLORIDA","PALM BAY",2014,105287,281,0,23,0,24,234,1054,230,754,70,3
"212","FLORIDA","PALM BAY",2015,106469,251,5,27,0,31,188,949,222,667,60,7
"213","FLORIDA","PEMBROKE PINES",2014,164372,132,2,8,0,54,68,1887,306,1491,90,1
"214","FLORIDA","PEMBROKE PINES",2015,167266,166,0,11,0,39,116,1831,291,1428,112,5
"215","FLORIDA","POMPANO BEACH",2014,105523,399,2,28,0,129,240,2243,488,1610,145,6
"216","FLORIDA","POMPANO BEACH",2015,107656,484,2,39,0,121,322,2176,356,1616,204,7
"217","FLORIDA","PORT ST. LUCIE",2014,172453,130,4,8,0,20,98,1204,261,905,38,5
"218","FLORIDA","PORT ST. LUCIE",2015,176364,124,2,4,0,13,105,1164,204,924,36,1
"219","FLORIDA","ST. PETERSBURG",2014,250772,1088,9,83,0,305,691,6830,1358,4832,640,23
"220","FLORIDA","ST. PETERSBURG",2015,255821,979,5,67,0,266,641,7156,1127,5263,766,23
